identifier,time,x,y
GK,91,10.26,-43.7
GK,92,10.07,-43.35
GK,93,9.88,-43.03
GK,94,9.75,-42.81
GK,95,9.5,-42.7
GK,96,9.12,-42.73
GK,97,8.72,-42.71
GK,98,8.21,-42.82
GK,99,7.8,-42.82
GK,100,7.49,-42.86
GK,101,7.29,-42.82
GK,102,7.13,-42.72
GK,103,6.89,-42.7
GK,104,6.63,-42.61
GK,105,6.41,-42.56
GK,106,6.13,-42.43
GK,107,5.75,-42.36
GK,108,5.48,-42.42
GK,109,5.11,-42.55
GK,110,4.87,-42.68
GK,111,4.71,-42.81
GK,112,4.57,-42.94
GK,113,4.32,-43.19
GK,114,4.02,-43.32
GK,115,3.86,-43.37
GK,116,3.7,-43.44
GK,117,3.44,-43.64
GK,118,3.14,-43.8
GK,119,2.94,-44.07
GK,120,2.82,-44.3
GK,121,2.76,-44.38
GK,122,2.74,-44.56
GK,123,2.78,-44.62
GK,124,2.89,-44.65
GK,125,3.05,-44.62
GK,126,3.16,-44.5
GK,127,3.35,-44.33
GK,128,3.47,-44.19
GK,129,3.51,-44.19
GK,130,3.56,-44.25
GK,131,3.66,-44.4
GK,132,3.83,-44.52
GK,133,4.0,-44.5
GK,134,4.09,-44.49
GK,135,4.04,-44.6
GK,136,3.65,-45.53
GK,137,2.84,-47.3
GK,138,1.73,-49.84
GK,139,0.33,-50
GK,140,-1.56,-48.01
GK,141,-3.9,-45.7
GK,142,-6.06,-43.56
GK,143,-8.04,-41.5
GK,144,-9.86,-39.72
GK,145,-11.45,-38.22
GK,146,-12.85,-36.96
GK,147,-14.17,-35.95
GK,148,-15.3,-34.97
GK,149,-16.37,-34.21
GK,150,-17.38,-33.65
GK,151,-18.18,-33.29
GK,152,-18.86,-33.06
GK,153,-19.49,-32.74
GK,154,-19.92,-32.47
GK,155,-20.26,-32.22
GK,156,-20.61,-32.13
GK,157,-20.75,-32.15
GK,158,-20.91,-32.1
GK,159,-20.87,-32.11
GK,160,-20.72,-32.24
GK,161,-20.48,-32.38
GK,162,-20.28,-32.63
GK,163,-20.11,-32.98
GK,164,-19.91,-33.26
GK,165,-19.63,-33.54
GK,166,-19.35,-33.9
GK,167,-18.49,-34.86
GK,168,-16.97,-36.43
GK,169,-14.9,-38.42
GK,170,-13.03,-40.15
GK,171,-11.32,-41.73
GK,172,-9.77,-43.25
GK,173,-8.29,-44.74
GK,174,-6.82,-46.19
GK,175,-5.49,-47.51
GK,176,-4.36,-48.82
GK,177,-3.31,-49.9
GK,178,-2.31,-50
GK,179,-1.39,-49.66
GK,180,-0.53,-49.26
GK,181,0.34,-48.76
GK,182,1.14,-48.44
GK,183,1.82,-48.06
GK,184,2.57,-47.78
GK,185,3.31,-47.66
GK,186,4.03,-47.57
GK,187,4.75,-47.45
GK,188,5.47,-47.44
GK,189,7.06,-47.29
GK,190,9.25,-46.98
GK,191,12.03,-46.6
GK,192,15.33,-46.16
GK,193,19.09,-45.7
GK,194,22.27,-45.29
GK,195,25.01,-44.84
GK,196,27.39,-44.33
GK,197,29.26,-43.77
GK,198,30,-43.21
GK,199,28.49,-42.21
GK,200,26.29,-40.83
GK,201,23.28,-39.12
GK,202,19.78,-37.12
GK,203,15.68,-34.83
GK,204,11.9,-32.79
GK,205,8.37,-30.91
GK,206,5.08,-29.13
GK,207,2.17,-27.55
GK,208,-0.46,-26.11
GK,209,-2.89,-24.77
GK,210,-5.19,-23.6
GK,211,-7.14,-22.54
GK,212,-8.85,-21.69
GK,213,-10.51,-20.92
GK,214,-12.88,-19.81
GK,215,-15.79,-18.45
GK,216,-19.23,-16.97
GK,217,-22.13,-15.78
GK,218,-24.69,-14.83
GK,219,-26.77,-14.07
GK,220,-28.63,-13.37
GK,221,-30,-12.75
GK,222,-29.26,-12.33
GK,223,-28.54,-12.15
GK,224,-27.74,-11.95
GK,225,-26.94,-11.8
GK,226,-26.13,-11.76
GK,227,-25.31,-11.89
GK,228,-24.56,-11.97
GK,229,-23.66,-12.04
GK,230,-22.61,-12.05
GK,231,-21.6,-12.22
GK,232,-20.64,-12.36
GK,233,-19.74,-12.6
GK,234,-18.06,-13.05
GK,235,-15.55,-13.82
GK,236,-12.38,-14.77
GK,237,-8.54,-15.89
GK,238,-4.93,-16.87
GK,239,-1.79,-17.92
GK,240,1.09,-19.03
GK,241,3.68,-20.17
GK,242,6.12,-21.3
GK,243,8.44,-22.47
GK,244,10.4,-23.61
GK,245,12.18,-24.78
GK,246,13.68,-25.96
GK,247,15.1,-26.98
GK,248,16.27,-27.84
GK,249,17.16,-28.58
GK,250,17.91,-29.19
GK,251,18.55,-29.69
GK,252,19.16,-30.15
GK,253,19.66,-30.57
GK,254,19.96,-31.1
GK,255,20.23,-31.48
GK,256,20.3,-31.94
GK,257,20.33,-32.48
GK,258,20.22,-32.98
GK,259,20.16,-33.54
GK,260,20.04,-34.01
GK,261,19.94,-34.47
GK,262,19.88,-34.98
GK,263,19.68,-35.32
GK,264,19.35,-35.55
GK,265,19.01,-35.7
GK,266,18.65,-35.95
GK,267,18.24,-36.15
GK,268,17.79,-36.32
GK,269,17.2,-36.48
GK,270,16.59,-36.5
GK,271,16.06,-36.46
GK,272,15.47,-36.43
GK,273,14.92,-36.4
GK,274,14.44,-36.32
GK,275,13.89,-36.35
GK,276,13.25,-36.5
GK,277,12.73,-36.61
GK,278,12.2,-36.75
GK,279,11.59,-36.94
GK,280,11.03,-37.13
GK,281,10.53,-37.4
GK,282,10.19,-37.66
GK,283,9.87,-37.9
GK,284,9.68,-38.06
GK,285,9.38,-38.35
GK,286,8.99,-38.59
GK,287,8.71,-38.69
GK,288,8.49,-38.91
GK,289,8.18,-39.23
GK,290,7.76,-39.56
GK,291,7.25,-39.84
GK,292,6.84,-40.16
GK,293,6.53,-40.34
GK,294,6.32,-40.47
GK,295,6.24,-40.49
GK,296,6.24,-40.38
GK,297,6.2,-40.16
GK,298,6.18,-39.88
GK,299,6.05,-39.64
GK,300,6.03,-39.45
GK,301,5.88,-39.24
GK,302,5.64,-38.95
GK,303,5.54,-38.72
GK,304,5.58,-38.47
GK,305,5.57,-38.32
GK,306,5.55,-38.12
GK,307,5.65,-37.93
GK,308,5.6,-37.69
GK,309,5.47,-37.37
GK,310,5.03,-36.17
GK,311,4.22,-34.27
GK,312,3.02,-31.76
GK,313,1.93,-29.49
GK,314,0.9,-27.44
GK,315,0.07,-25.58
GK,316,-0.79,-24.04
GK,317,-1.51,-22.72
GK,318,-2.27,-21.61
GK,319,-2.99,-20.75
GK,320,-4.15,-19.46
GK,321,-5.74,-17.8
GK,322,-7.85,-15.77
GK,323,-10.24,-13.29
GK,324,-12.99,-10.46
GK,325,-15.98,-7.3
GK,326,-19.25,-3.88
GK,327,-22.12,-0.86
GK,328,-24.63,1.81
GK,329,-26.67,4.0
GK,330,-28.23,5.7
GK,331,-29.37,6.99
GK,332,-30,8.09
GK,333,-29.57,8.75
GK,334,-28.98,9.21
GK,335,-28.38,9.41
GK,336,-27.71,9.31
GK,337,-26.98,9.06
GK,338,-26.14,8.53
GK,339,-25.15,7.74
GK,340,-24.13,6.94
GK,341,-23.18,5.99
GK,342,-22.34,4.94
GK,343,-21.36,3.91
GK,344,-20.34,2.82
GK,345,-19.24,1.8
GK,346,-18.19,0.61
GK,347,-17.1,-0.66
GK,348,-16.0,-1.91
GK,349,-14.86,-3.06
GK,350,-13.8,-4.12
GK,351,-12.7,-5.25
GK,352,-11.7,-6.51
GK,353,-10.65,-7.67
GK,354,-9.57,-8.91
GK,355,-8.63,-10.26
GK,356,-7.75,-11.63
GK,357,-6.95,-12.85
GK,358,-6.34,-14.01
GK,359,-5.67,-15.06
GK,360,-5.02,-16.14
GK,361,-4.34,-17.3
GK,362,-3.74,-18.48
GK,363,-3.23,-19.62
GK,364,-2.69,-20.69
GK,365,-2.12,-21.59
GK,366,-1.17,-23.09
GK,367,0.19,-25.32
GK,368,1.95,-28.25
GK,369,3.94,-31.57
GK,370,5.7,-34.54
GK,371,7.18,-37.19
GK,372,8.5,-39.62
GK,373,9.72,-41.88
GK,374,10.86,-43.94
GK,375,11.75,-45.91
GK,376,12.39,-47.8
GK,377,12.83,-49.39
GK,378,13.12,-50
GK,379,13.39,-49.29
GK,380,13.67,-48.64
GK,381,14.0,-48.17
GK,382,14.13,-47.85
GK,383,14.31,-47.55
GK,384,14.57,-47.28
GK,385,14.68,-47.09
GK,386,14.63,-46.83
GK,387,14.46,-46.62
GK,388,14.24,-46.44
GK,389,14.13,-46.16
GK,390,13.89,-45.85
GK,391,13.7,-45.66
GK,392,13.61,-45.45
GK,393,13.41,-45.38
GK,394,13.06,-45.24
GK,395,12.69,-45.12
GK,396,12.45,-45.0
GK,397,11.36,-44.53
GK,398,9.49,-43.83
GK,399,7.07,-42.98
GK,400,3.98,-41.99
GK,401,0.26,-40.87
GK,402,-3.9,-39.71
GK,403,-8.58,-38.52
GK,404,-12.91,-37.54
GK,405,-16.73,-36.57
GK,406,-20.18,-35.6
GK,407,-23.08,-34.65
GK,408,-25.54,-33.92
GK,409,-27.76,-33.28
GK,410,-29.73,-32.76
GK,411,-30,-32.22
GK,412,-29.23,-31.68
GK,413,-28.47,-31.22
GK,414,-27.53,-30.77
GK,415,-26.61,-30.49
GK,416,-25.63,-30.18
GK,417,-24.72,-29.92
GK,418,-23.86,-29.67
GK,419,-22.96,-29.57
GK,420,-22.16,-29.59
GK,421,-21.25,-29.6
GK,422,-20.3,-29.66
GK,423,-19.3,-29.69
GK,424,-18.25,-29.8
GK,425,-17.34,-29.89
GK,426,-16.41,-30.01
GK,427,-15.58,-30.08
GK,428,-14.73,-30.15
GK,429,-13.94,-30.27
GK,430,-13.19,-30.35
GK,431,-12.44,-30.55
GK,432,-11.76,-30.88
GK,433,-11.15,-31.28
GK,434,-10.54,-31.77
GK,435,-10.01,-32.33
GK,436,-9.58,-32.84
GK,437,-9.1,-33.41
GK,438,-8.56,-33.88
GK,439,-8.06,-34.25
GK,440,-7.53,-34.59
GK,441,-7.03,-34.8
GK,442,-6.47,-35.01
GK,443,-5.85,-35.11
GK,444,-5.42,-35.33
GK,445,-4.97,-35.49
GK,446,-4.46,-35.54
GK,447,-4.03,-35.71
GK,448,-3.76,-35.93
GK,449,-3.47,-36.08
GK,450,-3.11,-36.28
GK,451,-2.9,-36.57
GK,452,-2.81,-36.97
GK,453,-2.73,-37.45
GK,454,-2.54,-38.0
GK,455,-2.5,-38.56
GK,456,-2.33,-39.09
GK,457,-2.29,-39.67
GK,458,-2.31,-40.14
GK,459,-2.41,-40.57
GK,460,-2.62,-40.94
GK,461,-2.8,-41.19
GK,462,-2.91,-41.54
GK,463,-3.05,-41.88
GK,464,-3.17,-42.25
GK,465,-3.25,-42.61
GK,466,-3.22,-42.85
GK,467,-3.22,-43.15
GK,468,-3.33,-43.33
GK,469,-3.51,-43.48
GK,470,-3.68,-43.58
GK,471,-3.86,-43.64
GK,472,-3.96,-43.69
GK,473,-4.02,-43.67
GK,474,-4.02,-43.61
GK,475,-4.07,-43.5
GK,476,-4.19,-43.35
GK,477,-4.2,-43.21
GK,478,-4.16,-43.21
GK,479,-4.24,-43.32
GK,480,-4.75,-44.05
GK,481,-5.73,-45.32
GK,482,-7.06,-47.21
GK,483,-8.75,-49.61
GK,484,-10.17,-50
GK,485,-11.44,-48.93
GK,486,-12.65,-47.95
GK,487,-13.8,-46.96
GK,488,-15.53,-45.52
GK,489,-17.82,-43.62
GK,490,-20.42,-41.39
GK,491,-22.63,-39.3
GK,492,-24.48,-37.53
GK,493,-25.97,-36.03
GK,494,-27.14,-34.66
GK,495,-27.96,-33.42
GK,496,-28.52,-32.43
GK,497,-28.86,-31.63
GK,498,-29.02,-31.02
GK,499,-29.12,-30.48
GK,500,-29.12,-29.95
GK,501,-29.03,-29.56
GK,502,-28.91,-29.14
GK,503,-28.7,-28.77
GK,504,-28.26,-28.37
GK,505,-27.79,-28.01
GK,506,-27.17,-27.75
GK,507,-26.34,-27.6
GK,508,-25.49,-27.44
GK,509,-24.56,-27.31
GK,510,-23.62,-27.2
GK,511,-22.65,-27.1
GK,512,-21.64,-26.99
GK,513,-20.56,-26.98
GK,514,-19.58,-26.93
GK,515,-18.69,-26.94
GK,516,-17.85,-27.02
GK,517,-17.15,-27.22
GK,518,-16.5,-27.32
GK,519,-14.9,-27.68
GK,520,-12.57,-28.24
GK,521,-9.47,-28.85
GK,522,-6.63,-29.4
GK,523,-4.04,-30.05
GK,524,-1.73,-30.61
GK,525,0.21,-31.25
GK,526,2.03,-31.89
GK,527,3.69,-32.56
GK,528,5.1,-33.22
GK,529,6.4,-33.92
GK,530,7.61,-34.61
GK,531,8.74,-35.23
GK,532,9.79,-35.82
GK,533,10.7,-36.38
GK,534,11.63,-36.77
GK,535,12.4,-37.03
GK,536,13.04,-37.17
GK,537,13.69,-37.4
GK,538,14.1,-37.56
GK,539,14.43,-37.69
GK,540,14.79,-37.93
GK,541,15.12,-38.22
GK,542,15.48,-38.46
GK,543,15.7,-38.77
GK,544,15.89,-38.95
GK,545,16.1,-39.11
GK,546,16.23,-39.29
GK,547,16.19,-39.54
GK,548,16.15,-39.74
GK,549,16.01,-39.8
GK,550,15.91,-39.85
GK,551,15.69,-39.94
GK,552,15.44,-40.14
GK,553,15.07,-40.24
GK,554,14.66,-40.3
GK,555,14.37,-40.46
GK,556,14.15,-40.6
GK,557,14.04,-40.64
GK,558,13.89,-40.65
GK,559,13.81,-40.56
GK,560,13.6,-40.44
GK,561,13.47,-40.24
GK,562,13.41,-40.05
GK,563,13.24,-39.96
GK,564,12.98,-39.86
GK,565,12.82,-39.66
GK,566,12.6,-39.57
GK,567,12.28,-39.42
GK,568,12.0,-39.18
GK,569,11.62,-39.09
GK,570,10.31,-38.83
GK,571,8.32,-38.51
GK,572,5.58,-38.19
GK,573,3.16,-38.03
GK,574,0.93,-38.02
GK,575,-1.08,-38.02
GK,576,-2.78,-38.02
GK,577,-4.23,-37.98
GK,578,-5.44,-37.94
GK,579,-6.41,-37.94
GK,580,-7.18,-37.97
GK,581,-7.98,-37.87
GK,582,-8.59,-37.68
GK,583,-8.98,-37.58
GK,584,-9.29,-37.4
GK,585,-9.57,-37.12
GK,586,-9.69,-36.88
GK,587,-9.79,-36.69
GK,588,-9.74,-36.44
GK,589,-9.71,-36.12
GK,590,-9.58,-35.89
GK,591,-9.56,-35.58
GK,592,-9.46,-35.35
GK,593,-9.22,-35.16
GK,594,-8.88,-35.11
GK,595,-8.68,-34.99
GK,596,-8.37,-34.85
GK,597,-8.04,-34.8
GK,598,-7.63,-34.78
GK,599,-7.25,-34.68
GK,600,-6.91,-34.7
GK,601,-6.52,-34.71
GK,602,-6.09,-34.79
GK,603,-5.74,-34.87
GK,604,-5.55,-35.03
GK,605,-5.49,-35.14
GK,606,-5.46,-35.25
GK,607,-5.42,-35.23
GK,608,-5.25,-35.09
GK,609,-5.12,-34.91
GK,610,-4.96,-34.8
GK,611,-4.9,-34.65
GK,612,-4.83,-34.63
GK,613,-4.73,-34.57
GK,614,-4.63,-34.62
GK,615,-4.57,-34.78
GK,616,-4.49,-35.02
GK,617,-4.49,-35.3
GK,618,-4.59,-35.6
GK,619,-4.63,-35.76
GK,620,-4.77,-35.83
GK,621,-4.82,-35.91
GK,622,-4.9,-36.06
GK,623,-5.03,-36.07
GK,624,-5.2,-36.07
GK,625,-5.22,-36.18
GK,626,-5.2,-36.22
GK,627,-5.25,-36.16
GK,628,-5.26,-36.18
GK,629,-5.24,-36.18
GK,630,-5.16,-36.24
GK,631,-5.08,-36.31
GK,632,-5.03,-36.37
GK,633,-5.08,-36.44
GK,634,-5.25,-36.58
GK,635,-5.5,-36.6
GK,636,-5.75,-36.59
GK,637,-5.85,-36.63
GK,638,-5.86,-36.59
GK,639,-5.85,-36.56
GK,640,-5.79,-36.43
GK,641,-5.79,-36.24
GK,642,-5.84,-36.09
GK,643,-5.85,-35.89
GK,644,-5.78,-35.79
GK,645,-5.6,-35.57
GK,646,-5.42,-35.29
GK,647,-5.28,-35.08
GK,648,-5.09,-34.91
GK,649,-4.83,-34.86
GK,650,-4.53,-34.69
GK,651,-4.14,-34.49
GK,652,-3.76,-34.29
GK,653,-3.52,-34.09
GK,654,-3.34,-33.98
GK,655,-3.23,-34.01
GK,656,-3.16,-34.17
GK,657,-3.07,-34.22
GK,658,-2.99,-34.28
GK,659,-3.05,-34.24
GK,660,-3.01,-34.09
GK,661,-3.0,-33.94
GK,662,-2.91,-33.7
GK,663,-2.79,-33.46
GK,664,-2.63,-33.37
GK,665,-2.46,-33.29
GK,666,-2.29,-33.29
GK,667,-2.06,-33.41
GK,668,-1.89,-33.63
GK,669,-1.66,-33.86
GK,670,-1.42,-34.04
GK,671,-1.33,-34.3
GK,672,-1.38,-34.51
GK,673,-1.35,-34.71
GK,674,-1.32,-34.91
GK,675,-1.29,-35.11
GK,676,-1.19,-35.41
GK,677,-1.18,-35.81
GK,678,-1.22,-36.06
GK,679,-1.28,-36.18
GK,680,-1.26,-36.19
GK,681,-1.26,-36.19
GK,682,-1.25,-36.25
GK,683,-1.17,-36.38
GK,684,-0.98,-36.47
GK,685,-0.81,-36.43
GK,686,-0.66,-36.26
GK,687,-0.45,-36.14
GK,688,-0.3,-35.94
GK,689,-0.17,-35.85
GK,690,-0.16,-35.78
GK,691,-0.1,-35.65
GK,692,0.07,-35.67
GK,693,0.31,-35.73
GK,694,0.53,-35.86
GK,695,0.63,-36.04
GK,696,0.79,-36.29
GK,697,0.98,-36.42
GK,698,1.14,-36.48
GK,699,1.17,-36.48
GK,700,1.16,-36.44
GK,701,1.06,-36.48
GK,702,0.89,-36.54
GK,703,0.82,-36.52
GK,704,0.68,-36.4
GK,705,0.47,-36.31
GK,706,0.25,-36.27
GK,707,-0.02,-36.15
GK,708,-0.18,-36.11
GK,709,-0.28,-35.96
GK,710,-0.5,-35.89
GK,711,-0.7,-35.88
GK,712,-0.98,-35.87
GK,713,-1.14,-35.8
GK,714,-1.15,-35.62
GK,715,-1.18,-35.52
GK,716,-1.13,-35.45
GK,717,-0.99,-35.37
GK,718,-0.74,-35.19
GK,719,-0.54,-35.13
GK,720,-0.4,-35.15
GK,721,-0.33,-35.2
GK,722,-0.32,-35.31
GK,723,-0.31,-35.43
GK,724,-0.19,-35.59
GK,725,-0.13,-35.66
GK,726,-0.16,-35.77
GK,727,-0.07,-35.92
GK,728,0.0,-36.12
GK,729,0.11,-36.22
GK,730,0.19,-36.33
GK,731,0.25,-36.43
GK,732,0.37,-36.4
GK,733,0.42,-36.35
GK,734,0.47,-36.32
GK,735,0.41,-36.28
GK,736,0.48,-36.27
GK,737,0.6,-36.28
GK,738,0.76,-36.43
GK,739,0.84,-36.67
GK,740,0.94,-36.84
GK,741,0.91,-37.13
GK,742,0.85,-37.38
GK,743,0.69,-37.62
GK,744,0.42,-37.72
GK,745,0.09,-37.78
GK,746,-0.18,-37.89
GK,747,-0.44,-37.97
GK,748,-0.73,-38.09
GK,749,-0.95,-38.08
GK,750,-1.23,-37.94
GK,751,-1.49,-37.75
GK,752,-1.61,-37.52
GK,753,-1.64,-37.32
GK,754,-1.73,-37.18
GK,755,-1.91,-37.11
GK,756,-1.94,-37.16
GK,757,-1.87,-37.15
GK,758,-1.82,-37.11
GK,759,-1.66,-37.15
GK,760,-1.48,-37.25
GK,761,-1.37,-37.26
GK,762,-1.3,-37.19
GK,763,-1.34,-37.04
GK,764,-1.3,-36.99
GK,765,-1.29,-36.97
GK,766,-1.17,-36.94
GK,767,-0.26,-36.58
GK,768,1.32,-35.92
GK,769,3.62,-34.95
GK,770,6.43,-33.75
GK,771,9.0,-32.77
GK,772,11.17,-31.89
GK,773,13.19,-31.16
GK,774,14.92,-30.61
GK,775,16.52,-30.21
GK,776,18.04,-29.92
GK,777,19.27,-29.62
GK,778,20.28,-29.41
GK,779,21.2,-29.32
GK,780,21.94,-29.34
GK,781,22.44,-29.33
GK,782,22.67,-29.25
GK,783,22.69,-29.12
GK,784,22.55,-29.11
GK,785,22.44,-29.18
GK,786,22.36,-29.16
GK,787,22.28,-29.07
GK,788,22.09,-29.03
GK,789,21.86,-29.01
GK,790,21.53,-28.92
GK,791,21.11,-28.74
GK,792,20.61,-28.55
GK,793,20.12,-28.28
GK,794,19.5,-28.19
GK,795,18.86,-28.16
GK,796,18.14,-28.05
GK,797,17.35,-28.01
GK,798,16.5,-28.03
GK,799,15.66,-28.02
GK,800,14.9,-28.0
GK,801,14.24,-28.04
GK,802,13.69,-28.2
GK,803,13.12,-28.39
GK,804,12.61,-28.67
GK,805,12.16,-28.87
GK,806,11.78,-29.0
GK,807,11.54,-29.01
GK,808,11.18,-29.09
GK,809,10.73,-29.31
GK,810,10.31,-29.57
GK,811,10.03,-29.73
GK,812,9.69,-29.78
GK,813,9.36,-29.8
GK,814,9.04,-29.92
GK,815,8.67,-30.13
GK,816,8.23,-30.46
GK,817,7.91,-30.89
GK,818,7.58,-31.43
GK,819,7.38,-31.89
GK,820,7.31,-32.26
GK,821,7.35,-32.69
GK,822,7.45,-33.19
GK,823,7.52,-33.7
GK,824,7.66,-34.07
GK,825,7.77,-34.52
GK,826,7.92,-34.97
GK,827,8.14,-35.4
GK,828,8.35,-35.9
GK,829,8.55,-36.38
GK,830,8.81,-36.87
GK,831,9.03,-37.33
GK,832,9.3,-37.86
GK,833,9.57,-38.29
GK,834,9.94,-38.68
GK,835,10.32,-39.02
GK,836,10.64,-39.44
GK,837,11.0,-39.93
GK,838,11.31,-40.49
GK,839,11.58,-40.93
GK,840,11.82,-41.44
GK,841,12.1,-41.77
GK,842,12.31,-42.14
GK,843,12.38,-42.38
GK,844,12.38,-42.63
GK,845,12.42,-42.97
GK,846,12.52,-43.35
GK,847,12.52,-43.74
GK,848,12.54,-44.13
GK,849,12.54,-44.58
GK,850,12.44,-45.04
GK,851,12.34,-45.34
GK,852,12.23,-45.52
GK,853,12.22,-45.73
GK,854,12.17,-46.04
GK,855,11.98,-46.28
GK,856,11.9,-46.57
GK,857,11.87,-46.84
GK,858,11.72,-47.18
GK,859,11.66,-47.57
GK,860,11.58,-48.03
GK,861,11.47,-48.36
GK,862,11.45,-48.75
GK,863,11.36,-49.2
GK,864,11.21,-49.61
GK,865,11.02,-50
GK,866,10.74,-49.73
GK,867,10.4,-49.45
GK,868,10.17,-49.28
GK,869,10.0,-49.01
GK,870,9.95,-48.69
GK,871,9.76,-48.35
GK,872,9.67,-48.07
GK,873,9.45,-47.8
GK,874,9.13,-47.68
GK,875,8.94,-47.6
GK,876,8.84,-47.42
GK,877,8.83,-47.35
GK,878,8.73,-47.35
GK,879,8.56,-47.41
GK,880,8.47,-47.44
GK,881,8.49,-47.58
GK,882,8.4,-47.66
GK,883,8.42,-47.81
GK,884,8.48,-48.07
GK,885,8.63,-49.28
GK,886,8.83,-50
GK,887,9.28,-48.27
GK,888,9.92,-45.97
GK,889,10.72,-42.92
GK,890,11.55,-39.31
GK,891,12.51,-35.13
GK,892,13.42,-31.28
GK,893,14.12,-27.89
GK,894,14.68,-24.91
GK,895,15.2,-22.28
GK,896,15.71,-20.05
GK,897,16.08,-18.03
GK,898,16.36,-16.28
GK,899,16.46,-14.7
GK,900,16.48,-13.25
GK,901,16.44,-11.95
GK,902,16.34,-10.95
GK,903,16.24,-10.06
GK,904,16.2,-9.25
GK,905,16.1,-8.61
GK,906,16.06,-7.99
GK,907,15.96,-7.46
GK,908,15.78,-6.94
GK,909,15.62,-6.63
GK,910,15.45,-6.44
GK,911,15.3,-6.5
GK,912,15.08,-6.75
GK,913,14.85,-6.95
GK,914,14.54,-7.3
GK,915,14.19,-7.81
GK,916,13.83,-8.3
GK,917,13.38,-8.77
GK,918,12.99,-9.17
GK,919,12.71,-9.63
GK,920,12.42,-10.21
GK,921,12.08,-10.77
GK,922,11.85,-11.3
GK,923,11.69,-11.82
GK,924,11.55,-12.43
GK,925,11.48,-12.93
GK,926,11.36,-13.51
GK,927,11.26,-14.16
GK,928,11.02,-14.77
GK,929,10.8,-15.5
GK,930,10.45,-16.11
GK,931,10.2,-16.83
GK,932,9.99,-17.5
GK,933,9.77,-18.1
GK,934,9.5,-18.63
GK,935,9.25,-19.07
GK,936,9.09,-19.46
GK,937,8.93,-19.78
GK,938,8.69,-20.12
GK,939,8.34,-20.37
GK,940,8.06,-20.6
GK,941,7.73,-20.77
GK,942,7.46,-20.99
GK,943,7.26,-21.26
GK,944,7.21,-21.59
GK,945,7.1,-22.05
GK,946,6.9,-22.62
GK,947,6.7,-23.08
GK,948,6.41,-23.54
GK,949,6.18,-24.11
GK,950,5.94,-24.69
GK,951,5.7,-25.19
GK,952,5.5,-25.71
GK,953,5.39,-26.24
GK,954,5.28,-26.64
GK,955,5.07,-27.15
GK,956,4.9,-27.72
GK,957,4.77,-28.36
GK,958,4.58,-28.91
GK,959,4.36,-29.37
GK,960,4.08,-29.76
GK,961,3.87,-30.2
GK,962,3.59,-30.59
GK,963,3.24,-30.84
GK,964,3.04,-31.21
GK,965,2.83,-31.48
GK,966,2.64,-31.83
GK,967,2.37,-32.18
GK,968,2.09,-32.5
